title,description
SCR REGISTRATO,"Efetuei um pagamento do meu cartão de crédito da nubank financeira ,parcelamento está em dia ,negativação foi retirada do SPC..."
Problema com o resgate de fundos de investimento,"Bom dia, estou desde 11 de setembro tentando solucionar um problema com a Nubank.Não tenho acesso ao valor preso ..."
Compras desconhecidas no cartão de débito,"Em contato com a empresa nubank, foi relatado um [Editado pelo Reclame Aqui] em meu cartão de débito onde foram realizadas 3 ..."
Contestei uma compra e a Nubank bloqueou meu cartão mas manteve a compra,Fiz um pagamento pra Sky em 5X com cartão virtual. Paguei 2 parcelas e constatei que cai num [Editado pelo Reclame Aqui]. Abr...
Alterar vencimento da Fatura,"Prezados, bom dia.Tentei alterar o vencimento da fatura através do aplicativo e também através dos canais de aten..."
AUMENTO DE LIMITE NO CARTÃO DE CRÉDITO,"Olá, Estou tentando aumento de limite no meu cartão NuBank, mais sem sucesso, estou com todas minhas contas em di..."
Venda de fundos imobiliários BTHF11,"Estou tentando a mais de 1 mês realizar a vendas das minhas cotas do fundo imobiliário BTHF11 e não consigo, toda hora fica a..."
Cobrança da fatura na data errada,"Repetiram duas cobranças em fevereiro dias 27 e 28 que já foram pagas, na fatura de março. Além de terem cobrado nos dias i..."
COBRANÇA DE Uber INDEVIDA,Boa tarde! Tive 3 débitos em minha conta corrente que aparecem como Uber *Uber* Trip Help. Meu cartão está comigo e não fiz n...
Cartão de crédito cancelado,Olá quando fiquei desempregado infelizmente não dei conta de pagar meu cartão de crédito. voltei a trabalhar depois de alguns...
AUMENTO DE LIMITE NO CARTÃO DE CRÉDITO,"Olá, Estou tentando aumento de limite no meu cartão NuBank, mais sem sucesso, estou com todas minhas contas em di..."
Venda de fundos imobiliários BTHF11,"Estou tentando a mais de 1 mês realizar a vendas das minhas cotas do fundo imobiliário BTHF11 e não consigo, toda hora fica a..."
Cobrança da fatura na data errada,"Repetiram duas cobranças em fevereiro dias 27 e 28 que já foram pagas, na fatura de março. Além de terem cobrado nos dias i..."
COBRANÇA DE Uber INDEVIDA,Boa tarde! Tive 3 débitos em minha conta corrente que aparecem como Uber *Uber* Trip Help. Meu cartão está comigo e não fiz n...
Cartão de crédito cancelado,Olá quando fiquei desempregado infelizmente não dei conta de pagar meu cartão de crédito. voltei a trabalhar depois de alguns...
Redução do limite sem motivo,"Já sou cliente do banco, faz alguns anos e sempre paguei a fatura do cartão corretamente. Meu limite nunca foi muito alto, ma..."
4 meses esperando o cartão,Sempre tive admiração pelo Nubank. Mas esse sentimento vem sendo trocando por uma grande frustração. Vi que meu cartão estava...
Por que o Nubank parou de registrar sua fatura no DDA?,"Cada dia pior, Acredito que o Nubank parou de registrar suas cobranças, como consequência, seus boletos não entram mais no ..."
Consta limite mas não está disponível para uso,"Pago minhas faturas corretamente, valor total e em dias. Quando quero usar o limite, tanto o do cartão quanto o adicional que..."
Encerraram minha conta,"No dia 27/03 fui fazer um pagamento de um valor meio alto, quando tentei fazer minha conta foi bloqueada e em seguida cancel..."
Retirada de marcação,Uma pessoa me fez um pix do nubenk para minha conta inter o mesmo foi contestado. Porém eu provei ao inter que o pix era lega...
Empréstimo saque aniversário,Solicitei na última segunda feira um empréstimo através do nubank na modalidade do adiantamento do saque aniversário do fgts....
Cancelamento de conta,"Utilizo nubank ha anos, sempre movimentei valores altos, investi e deixei meus dados cadastrados. Hoje apos minha mae m..."
Falta de Transparência: Nubank Não Envia Faturas com Detalhamento das Taxas de Juros!,"É um absurdo! Estou há mais de quatro dias tentando, sem sucesso, emitir minhas faturas do período de 2021 até junho de 2024,..."
