title,description,categoria,titulo_limpo,descricao_limpa,tokens_titulo,tokens_descricao,sentimento_titulo,sentimento_descricao
SCR REGISTRATO,"Efetuei um pagamento do meu cartão de crédito da nubank financeira ,parcelamento está em dia ,negativação foi retirada do SPC...",Outros,scr registrato,efetuei um pagamento do meu cartão de crédito da nubank financeira parcelamento está em dia negativação foi retirada do spc,"['scr', 'registrat']","['efet', 'pag', 'cart', 'crédit', 'nubank', 'financ', 'parcel', 'dia', 'negativ', 'retir', 'spc']",1,1
Problema com o resgate de fundos de investimento,"Bom dia, estou desde 11 de setembro tentando solucionar um problema com a Nubank.Não tenho acesso ao valor preso ...",Investimentos,problema com o resgate de fundos de investimento,bom dia estou desde de setembro tentando solucionar um problema com a nubanknão tenho acesso ao valor preso,"['problem', 'resgat', 'fund', 'invest']","['bom', 'dia', 'desd', 'setembr', 'tent', 'soluc', 'problem', 'nubankn', 'acess', 'val', 'pres']",2,4
Compras desconhecidas no cartão de débito,"Em contato com a empresa nubank, foi relatado um [Editado pelo Reclame Aqui] em meu cartão de débito onde foram realizadas 3 ...",Cartão de Crédito,compras desconhecidas no cartão de débito,em contato com a empresa nubank foi relatado um editado pelo reclame aqui em meu cartão de débito onde foram realizadas,"['compr', 'desconhec', 'cart', 'débit']","['contat', 'empr', 'nubank', 'relat', 'edit', 'reclam', 'aqu', 'cart', 'débit', 'ond', 'realiz']",1,1
Contestei uma compra e a Nubank bloqueou meu cartão mas manteve a compra,Fiz um pagamento pra Sky em 5X com cartão virtual. Paguei 2 parcelas e constatei que cai num [Editado pelo Reclame Aqui]. Abr...,Cartão de Crédito,contestei uma compra e a nubank bloqueou meu cartão mas manteve a compra,fiz um pagamento pra sky em x com cartão virtual paguei parcelas e constatei que cai num editado pelo reclame aqui abr,"['contest', 'compr', 'nubank', 'bloqu', 'cart', 'mantev', 'compr']","['fiz', 'pag', 'pra', 'sky', 'cart', 'virtual', 'pag', 'parcel', 'constat', 'cai', 'edit', 'reclam', 'aqu', 'abr']",1,1
Alterar vencimento da Fatura,"Prezados, bom dia.Tentei alterar o vencimento da fatura através do aplicativo e também através dos canais de aten...",Cartão de Crédito,alterar vencimento da fatura,prezados bom diatentei alterar o vencimento da fatura através do aplicativo e também através dos canais de aten,"['alter', 'venc', 'fatur']","['prez', 'bom', 'diatent', 'alter', 'venc', 'fatur', 'através', 'aplic', 'através', 'canal', 'aten']",3,4
AUMENTO DE LIMITE NO CARTÃO DE CRÉDITO,"Olá, Estou tentando aumento de limite no meu cartão NuBank, mais sem sucesso, estou com todas minhas contas em di...",Cartão de Crédito,aumento de limite no cartão de crédito,olá estou tentando aumento de limite no meu cartão nubank mais sem sucesso estou com todas minhas contas em di,"['aument', 'limit', 'cart', 'crédit']","['olá', 'tent', 'aument', 'limit', 'cart', 'nubank', 'sucess', 'tod', 'cont']",1,1
Venda de fundos imobiliários BTHF11,"Estou tentando a mais de 1 mês realizar a vendas das minhas cotas do fundo imobiliário BTHF11 e não consigo, toda hora fica a...",Investimentos,venda de fundos imobiliários bthf,estou tentando a mais de mês realizar a vendas das minhas cotas do fundo imobiliário bthf e não consigo toda hora fica a,"['vend', 'fund', 'imobili', 'bthf']","['tent', 'mê', 'realiz', 'vend', 'cot', 'fund', 'imobili', 'bthf', 'consig', 'tod', 'hor', 'fic']",1,1
Cobrança da fatura na data errada,"Repetiram duas cobranças em fevereiro dias 27 e 28 que já foram pagas, na fatura de março. Além de terem cobrado nos dias i...",Cartão de Crédito,cobrança da fatura na data errada,repetiram duas cobranças em fevereiro dias e que já foram pagas na fatura de março além de terem cobrado nos dias i,"['cobranç', 'fatur', 'dat', 'err']","['repet', 'dua', 'cobranç', 'fever', 'dia', 'pag', 'fatur', 'març', 'além', 'ter', 'cobr', 'dia']",1,1
COBRANÇA DE Uber INDEVIDA,Boa tarde! Tive 3 débitos em minha conta corrente que aparecem como Uber *Uber* Trip Help. Meu cartão está comigo e não fiz n...,Segurança,cobrança de uber indevida,boa tarde tive débitos em minha conta corrente que aparecem como uber uber trip help meu cartão está comigo e não fiz n,"['cobranç', 'ub', 'indev']","['boa', 'tard', 'débit', 'cont', 'corr', 'aparec', 'ub', 'ub', 'trip', 'help', 'cart', 'comig', 'fiz']",1,1
Cartão de crédito cancelado,Olá quando fiquei desempregado infelizmente não dei conta de pagar meu cartão de crédito. voltei a trabalhar depois de alguns...,Cartão de Crédito,cartão de crédito cancelado,olá quando fiquei desempregado infelizmente não dei conta de pagar meu cartão de crédito voltei a trabalhar depois de alguns,"['cart', 'crédit', 'cancel']","['olá', 'fiq', 'desempreg', 'infeliz', 'dei', 'cont', 'pag', 'cart', 'crédit', 'volt', 'trabalh', 'algum']",1,1
Redução do limite sem motivo,"Já sou cliente do banco, faz alguns anos e sempre paguei a fatura do cartão corretamente. Meu limite nunca foi muito alto, ma...",Cartão de Crédito,redução do limite sem motivo,já sou cliente do banco faz alguns anos e sempre paguei a fatura do cartão corretamente meu limite nunca foi muito alto ma,"['reduç', 'limit', 'motiv']","['client', 'banc', 'faz', 'algum', 'ano', 'sempr', 'pag', 'fatur', 'cart', 'corret', 'limit', 'nunc', 'alt']",3,2
4 meses esperando o cartão,Sempre tive admiração pelo Nubank. Mas esse sentimento vem sendo trocando por uma grande frustração. Vi que meu cartão estava...,Cartão de Crédito,meses esperando o cartão,sempre tive admiração pelo nubank mas esse sentimento vem sendo trocando por uma grande frustração vi que meu cartão estava,"['mes', 'esper', 'cart']","['sempr', 'admir', 'nubank', 'sent', 'vem', 'send', 'troc', 'grand', 'frustr', 'cart']",3,2
Por que o Nubank parou de registrar sua fatura no DDA?,"Cada dia pior, Acredito que o Nubank parou de registrar suas cobranças, como consequência, seus boletos não entram mais no ...",Cartão de Crédito,por que o nubank parou de registrar sua fatura no dda,cada dia pior acredito que o nubank parou de registrar suas cobranças como consequência seus boletos não entram mais no,"['nubank', 'par', 'registr', 'fatur', 'dda']","['cad', 'dia', 'pi', 'acredit', 'nubank', 'par', 'registr', 'cobranç', 'consequ', 'bolet', 'entr']",2,1
Consta limite mas não está disponível para uso,"Pago minhas faturas corretamente, valor total e em dias. Quando quero usar o limite, tanto o do cartão quanto o adicional que...",Cartão de Crédito,consta limite mas não está disponível para uso,pago minhas faturas corretamente valor total e em dias quando quero usar o limite tanto o do cartão quanto o adicional que,"['const', 'limit', 'dispon', 'uso']","['pag', 'fatur', 'corret', 'val', 'total', 'dia', 'quer', 'us', 'limit', 'tant', 'cart', 'quant', 'adic']",1,5
Encerraram minha conta,"No dia 27/03 fui fazer um pagamento de um valor meio alto, quando tentei fazer minha conta foi bloqueada e em seguida cancel...",Conta,encerraram minha conta,no dia fui fazer um pagamento de um valor meio alto quando tentei fazer minha conta foi bloqueada e em seguida cancel,"['encerr', 'cont']","['dia', 'faz', 'pag', 'val', 'mei', 'alt', 'tent', 'faz', 'cont', 'bloque', 'segu', 'cancel']",5,1
Retirada de marcação,Uma pessoa me fez um pix do nubenk para minha conta inter o mesmo foi contestado. Porém eu provei ao inter que o pix era lega...,Outros,retirada de marcação,uma pessoa me fez um pix do nubenk para minha conta inter o mesmo foi contestado porém eu provei ao inter que o pix era lega,"['retir', 'marc']","['pesso', 'fez', 'pix', 'nubenk', 'cont', 'int', 'contest', 'porém', 'prov', 'int', 'pix', 'leg']",1,1
Empréstimo saque aniversário,Solicitei na última segunda feira um empréstimo através do nubank na modalidade do adiantamento do saque aniversário do fgts....,Empréstimo,empréstimo saque aniversário,solicitei na última segunda feira um empréstimo através do nubank na modalidade do adiantamento do saque aniversário do fgts,"['emprést', 'saqu', 'aniversári']","['solicit', 'últ', 'segund', 'feir', 'emprést', 'através', 'nubank', 'modal', 'adiant', 'saqu', 'aniversári', 'fgt']",5,5
Cancelamento de conta,"Utilizo nubank ha anos, sempre movimentei valores altos, investi e deixei meus dados cadastrados. Hoje apos minha mae m...",Conta,cancelamento de conta,utilizo nubank ha anos sempre movimentei valores altos investi e deixei meus dados cadastrados hoje apos minha mae m,"['cancel', 'cont']","['utiliz', 'nubank', 'ano', 'sempr', 'moviment', 'val', 'alt', 'invest', 'deix', 'dad', 'cadastr', 'hoj', 'apo', 'mae']",1,5
